t_ns,px,py,pz,qx,qy,qz,qw
1773764616134395578,0.49443987011909485,-0.05585587024688721,3.3334662914276123,-0.011335720308125019,0.9999054670333862,-0.0032632313668727875,0.0070647853426635265
1773764616182037461,0.49191296100616455,-0.05427653715014458,3.3369505405426025,-0.010138409212231636,0.9999417066574097,-0.0025506396777927876,0.0027122562751173973
1773764616232891727,0.4950617551803589,-0.053309738636016846,3.3308019638061523,-0.010061210952699184,0.9999419450759888,-0.003234621835872531,-0.0021198412869125605
1773764616276885111,0.4972496032714844,-0.059091199189424515,3.332334041595459,-0.010709908790886402,0.9999135136604309,-0.002539152977988124,-0.007200130261480808
1773764616333267934,0.5006741285324097,-0.05828248709440231,3.333770275115967,-0.010037808679044247,0.9998664259910583,-0.002412202535197139,-0.012671777978539467
1773764616386359333,0.48451757431030273,-0.06271085143089294,3.330338716506958,-0.01148658711463213,0.9998133182525635,-0.003465056186541915,-0.015143780037760735
1773764616437995720,0.48503637313842773,-0.06345438212156296,3.330242395401001,-0.01160589512437582,0.9997277855873108,-0.0033247454557567835,-0.019966023042798042
1773764616486038723,0.4848814606666565,-0.06284716725349426,3.3302161693573,-0.01180381141602993,0.9996181726455688,-0.0037144916132092476,-0.02470673806965351
1773764616537219926,0.48398464918136597,-0.06212073937058449,3.330350637435913,-0.011637973599135876,0.9995007514953613,-0.0038232833612710238,-0.029124807566404343
1773764616586350255,0.48302164673805237,-0.062392305582761765,3.3305716514587402,-0.011828788556158543,0.999351978302002,-0.004082534462213516,-0.03374975919723511
1773764616635577951,0.4818422794342041,-0.06424933671951294,3.332552909851074,-0.011293500661849976,0.9991974830627441,-0.0034413530956953764,-0.03827545791864395
1773764616678809774,0.4800976514816284,-0.060849688947200775,3.333730459213257,-0.011396801099181175,0.9990092515945435,-0.003959645517170429,-0.042837366461753845
1773764616726963158,0.4798489212989807,-0.06033173203468323,3.33345103263855,-0.011608167551457882,0.9987935423851013,-0.004250067286193371,-0.04752553999423981
1773764616785021125,0.4780658781528473,-0.0650937408208847,3.3315179347991943,-0.011455646716058254,0.9985920786857605,-0.0034603436943143606,-0.05167881026864052
1773764616829927791,0.4772326350212097,-0.06661856174468994,3.330322027206421,-0.011179928667843342,0.9983556866645813,-0.0034142248332500458,-0.056118324398994446
1773764616886625608,0.4781099259853363,-0.0711745172739029,3.331852912902832,-0.011069780215620995,0.9980843663215637,-0.0023693162947893143,-0.060823168605566025
1773764616930776504,0.47778165340423584,-0.06775297224521637,3.3330776691436768,-0.011371971108019352,0.997763454914093,-0.0031925374642014503,-0.06579159945249557
1773764616986264701,0.4753032922744751,-0.06889072805643082,3.3329110145568848,-0.011509695090353489,0.997481644153595,-0.0029652826488018036,-0.06992257386445999
1773764617030854448,0.4719741940498352,-0.06717374920845032,3.332915782928467,-0.01111586019396782,0.9971757531166077,-0.0033583820331841707,-0.07420051097869873
1773764617080726429,0.4727573096752167,-0.06865634769201279,3.3331382274627686,-0.011355405673384666,0.9967952966690063,-0.0031589472200721502,-0.07912144064903259
1773764617134111490,0.4730502963066101,-0.06953823566436768,3.3328146934509277,-0.011461332440376282,0.9964192509651184,-0.003037621732801199,-0.0837147906422615
1773764617194543671,0.47526049613952637,-0.06846065819263458,3.3331282138824463,-0.011708344332873821,0.9959760308265686,-0.0034278295934200287,-0.08878578245639801
1773764617239587209,0.470537930727005,-0.07040217518806458,3.3336193561553955,-0.011316097341477871,0.9956188797950745,-0.00309261423535645,-0.09276578575372696
1773764617296134156,0.47077757120132446,-0.06925661861896515,3.3331665992736816,-0.011558860540390015,0.9951650500297546,-0.0034965346567332745,-0.09747187793254852
1773764617336316016,0.4706037938594818,-0.0700003057718277,3.333007335662842,-0.011455417610704899,0.9947056770324707,-0.003432195633649826,-0.10206719487905502
1773764617383929304,0.4685399532318115,-0.07144710421562195,3.3334572315216064,-0.0119487838819623,0.9942673444747925,-0.0031078283209353685,-0.10620739310979843
1773764617435161084,0.46269869804382324,-0.06608213484287262,3.332552909851074,-0.011800054460763931,0.9938379526138306,-0.004281651694327593,-0.11013000458478928
1773764617489398701,0.47676971554756165,-0.05856868624687195,3.3345603942871094,-0.011793313547968864,0.9930097460746765,-0.0058306301943957806,-0.11729709804058075
1773764617535205603,0.46214112639427185,-0.06490976363420486,3.3343052864074707,-0.011464565061032772,0.9927481412887573,-0.004234142601490021,-0.11959028244018555
1773764617578717502,0.4592711329460144,-0.06582567095756531,3.334080219268799,-0.011605137959122658,0.9922325015068054,-0.004182302858680487,-0.12378409504890442
1773764617638026678,0.45988768339157104,-0.06613858044147491,3.333256483078003,-0.01194428838789463,0.9916043877601624,-0.004383658524602652,-0.12868142127990723
1773764617686894062,0.45887506008148193,-0.06121984124183655,3.334674596786499,-0.012041100300848484,0.9910089373588562,-0.005412254948168993,-0.13314296305179596
1773764617736595696,0.45641520619392395,-0.06212934851646423,3.3344802856445312,-0.011549785733222961,0.9904407262802124,-0.005140544846653938,-0.13735876977443695
1773764617786873486,0.4580335021018982,-0.06851109862327576,3.334235429763794,-0.011431634426116943,0.9897488355636597,-0.0043104044161736965,-0.14229543507099152
1773764617832954003,0.4571133255958557,-0.06982468068599701,3.3333396911621094,-0.010832061991095543,0.9890897870063782,-0.00397624634206295,-0.1468615084886551
1773764617878581170,0.4541745185852051,-0.06855586171150208,3.33486008644104,-0.011377237737178802,0.9884302616119385,-0.004194427747279406,-0.15119071304798126
1773764617937208088,0.4515986442565918,-0.06826794892549515,3.3345820903778076,-0.011416014283895493,0.9878135323524475,-0.004414603114128113,-0.15515993535518646
1773764617985594509,0.4495549201965332,-0.06583519279956818,3.334073781967163,-0.011155447922647,0.9871240258216858,-0.004918122664093971,-0.15949136018753052
1773764618035442794,0.45124971866607666,-0.06342168152332306,3.333671808242798,-0.011848822236061096,0.9862560629844666,-0.00544745335355401,-0.16470849514007568
1773764618080354207,0.4520019292831421,-0.07280340790748596,3.3380367755889893,-0.01123169343918562,0.9855474829673767,-0.0032902993261814117,-0.16899491846561432
1773764618130907966,0.45336538553237915,-0.06923023611307144,3.337956666946411,-0.011318875476717949,0.9846946597099304,-0.004160476382821798,-0.17387068271636963
1773764618183000035,0.45023995637893677,-0.07150839269161224,3.339834213256836,-0.011172688566148281,0.9839455485343933,-0.004039785359054804,-0.17807325720787048
1773764618232842950,0.4486370086669922,-0.07210209220647812,3.3411011695861816,-0.010972259566187859,0.9831844568252563,-0.003608303377404809,-0.18224988877773285
1773764618282465411,0.44978606700897217,-0.07242821156978607,3.3422677516937256,-0.01082880049943924,0.9822835326194763,-0.0033969704527407885,-0.18705706298351288
1773764618334871834,0.4543236494064331,-0.05804244428873062,3.3463480472564697,-0.011873754672706127,0.9812183380126953,-0.006160235032439232,-0.19243618845939636
1773764618387149199,0.44340550899505615,-0.06472642719745636,3.3472628593444824,-0.012489552609622478,0.9805384874343872,-0.0055603389628231525,-0.19585059583187103
1773764618430211865,0.44305890798568726,-0.06420611590147018,3.347766876220703,-0.012552812695503235,0.979613184928894,-0.005824748892337084,-0.2004159539937973
1773764618488195838,0.44091731309890747,-0.06284530460834503,3.3456227779388428,-0.01279477309435606,0.9786905646324158,-0.006291721481829882,-0.20484521985054016
1773764618539715009,0.43955308198928833,-0.06346265971660614,3.346766233444214,-0.012641948647797108,0.9777730703353882,-0.006164975464344025,-0.20919369161128998
1773764618580124716,0.4388871192932129,-0.06314151734113693,3.3475496768951416,-0.012641076929867268,0.9768161177635193,-0.006368763279169798,-0.21361158788204193
1773764618636944135,0.43706196546554565,-0.06345106661319733,3.3484504222869873,-0.012455725111067295,0.9758573770523071,-0.006441270001232624,-0.21795818209648132
1773764618686934342,0.43649548292160034,-0.06334519386291504,3.3501179218292236,-0.012430929578840733,0.9748831987380981,-0.0064339484088122845,-0.22227656841278076
1773764618744461208,0.435591459274292,-0.06368695944547653,3.3506951332092285,-0.012465371750295162,0.9738678336143494,-0.006553648039698601,-0.22667840123176575
1773764618787578970,0.4345296621322632,-0.06340055912733078,3.3511300086975098,-0.012626989744603634,0.9728042483329773,-0.00641143973916769,-0.23119571805000305
1773764618836601421,0.4330641031265259,-0.06323909014463425,3.3506627082824707,-0.012382704764604568,0.9717427492141724,-0.006701229140162468,-0.2356220930814743
1773764618879831368,0.43151891231536865,-0.059153053909540176,3.350874900817871,-0.0126405730843544,0.9706966876983643,-0.007543780840933323,-0.2398567795753479
1773764618935011232,0.43271827697753906,-0.06461245566606522,3.352173089981079,-0.01233784481883049,0.9695103764533997,-0.006518952082842588,-0.2446526139974594
1773764618985863553,0.4296375513076782,-0.06253965944051743,3.352412700653076,-0.01246687676757574,0.9684445858001709,-0.00669207563623786,-0.24882709980010986
1773764619027615534,0.43034636974334717,-0.06603061407804489,3.356487512588501,-0.011903458274900913,0.9673963189125061,-0.006508480291813612,-0.2529037296772003
1773764619083038844,0.42813026905059814,-0.062316879630088806,3.353950023651123,-0.011873562820255756,0.9662297964096069,-0.0073369755409657955,-0.25730371475219727
